username,airport_code,time_visited
alphabeta_1,ATL,1629254806
alphabeta_1,ATL,1629254807
alphabeta_1,ATL,1629254808
alphabeta_1,ORD,1629254801
alphabeta_1,ORD,1629254802
alphabeta_1,ORD,1629254803
alphabeta_1,ORD,1629254804
alphabeta_1,CDG,1629254806
alphabeta_2,ATL,1629254806
alphabeta_2,ATL,1629254807
alphabeta_2,ATL,1629254808
alphabeta_2,ORD,1629254801
alphabeta_2,ORD,1629254802
alphabeta_2,ORD,1629254803
alphabeta_2,ORD,1629254804
alphabeta_2,CDG,1629254806
alphabeta_2,DUS,1629254816
alphabeta_2,DUS,1629254817
alphabeta_2,HGH,1629254804
alphabeta_2,HGH,1629254806
alphabeta_2,HGH,1629254816
alphabeta_2,HGH,1629254817